Stock Name,URL,CMP (Rs.),P/E Ratio,Market Cap (Rs. Cr.),Dividend Yield (%),Net Profit (Qtr) (Rs. Cr.),Qtr Profit Var (%),Sales (Qtr) (Rs. Cr.),Qtr Sales Var (%),ROCE (%),Public Holding,Debt to Equity,Profit Prev 12M (Rs. Cr.),Sales Var (5Yrs) (%),Profit Var (5Yrs) (%),Profitability Score
Maruti Suzuki,/company/MARUTI/consolidated/,11732.8,25.37,368882.25,1.07,3726.9,16.22,38764.3,15.67,21.82,3.28,0.0,14021.3,10.51,17.71,-0.0033225574712643646
Max Healthcare,/company/MAXHEALTH/consolidated/,1170.25,107.29,113764.92,0.13,238.8,0.48,1868.31,39.95,16.0,3.77,0.2,1058.96,26.17,780.3,-0.008983735197344581
Bharti Airtel,/company/BHARTIARTL/consolidated/,1725.8,51.7,1033656.46,0.46,16134.6,230.71,45129.3,19.08,13.13,2.91,2.59,13815.5,13.17,122.47,-0.016330390920554855
Adani Ports,/company/ADANIPORTS/consolidated/,1188.8,24.31,256797.32,0.5,2518.39,15.1,7963.55,15.08,12.93,5.96,0.88,9742.75,19.58,17.0,-0.032937199236132246
A B B,/company/ABB/,5457.5,61.69,115649.0,0.44,528.41,54.09,3364.93,22.03,38.56,7.45,0.01,1681.89,10.75,40.23,-0.04083172986331549
Varun Beverages,/company/VBL/consolidated/,537.95,68.7,181921.8,0.19,195.65,40.3,3688.79,38.28,24.85,7.52,0.17,2582.39,22.92,41.44,-0.042469149055673915
UltraTech Cem.,/company/ULTRACEMCO/consolidated/,10976.75,50.55,316902.19,0.64,1473.51,-17.2,17193.33,2.71,15.12,7.64,0.28,6553.76,11.33,23.87,-0.04424030398892609
Avenue Super.,/company/DMART/consolidated/,3892.2,93.12,253278.32,0.0,723.54,4.8,15972.55,17.68,19.41,8.24,0.04,2686.67,20.48,22.98,-0.04811499416590569
Shriram Finance,/company/SHRIRAMFIN/consolidated/,676.8,15.68,127264.38,1.33,3248.64,18.22,10698.31,19.9,11.27,5.58,3.97,8078.78,18.56,23.38,-0.04900781895464626
Sun Pharma.Inds.,/company/SUNPHARMA/consolidated/,1784.5,36.31,428161.33,0.76,2912.98,22.66,13675.46,10.46,17.32,8.92,0.04,11117.12,10.78,23.38,-0.05422131600498615
Adani Enterp.,/company/ADANIENT/consolidated/,2362.8,71.47,272709.82,0.06,228.64,-96.89,22848.42,-8.79,9.87,7.68,1.92,6086.45,19.02,42.77,-0.05493997858416315
LTIMindtree,/company/LTIM/consolidated/,4520.25,29.31,133928.47,1.44,1086.7,-7.14,9660.9,7.15,31.17,8.96,0.11,4656.7,30.33,24.77,-0.05502187332405676
Siemens,/company/SIEMENS/consolidated/,5200.65,81.43,185205.81,0.23,614.6,-9.59,3587.2,-3.3,23.61,9.45,0.02,2717.9,11.19,18.68,-0.05885455168065399
TVS Motor Co.,/company/TVSMOTOR/consolidated/,2413.85,58.08,114678.9,0.41,609.35,18.23,11134.63,10.09,14.68,8.45,1.88,1994.09,14.19,18.25,-0.06160228326883215
Bharat Electron,/company/BEL/consolidated/,295.74,43.31,216179.4,0.74,1311.6,52.51,5770.69,38.65,34.61,10.58,0.0,4540.99,10.75,16.02,-0.06887571839080459
Adani Power,/company/ADANIPOWER/consolidated/,522.1,15.63,201370.78,0.0,2940.07,7.38,13671.18,5.23,32.25,11.09,0.67,12685.51,16.09,88.46,-0.07767992383064456
Cholaman.Inv.&Fn,/company/CHOLAFIN/consolidated/,1538.5,31.8,129375.04,0.13,1088.21,24.79,6732.98,34.46,10.41,6.56,7.38,3852.2,21.94,23.38,-0.07930873682799205
Bajaj Finance,/company/BAJFINANCE/consolidated/,8916.1,34.58,552690.0,0.4,4308.19,16.7,18035.11,27.33,11.92,9.32,3.74,15389.2,24.35,29.35,-0.0811423999144816
Mazagon Dock,/company/MAZDOCK/consolidated/,2591.4,38.0,104531.89,0.53,807.04,28.76,3143.62,33.06,44.19,12.16,0.0,2570.93,15.46,29.45,-0.08306393678160919
Axis Bank,/company/AXISBANK/consolidated/,1070.15,11.76,331381.72,0.09,6778.91,3.86,32162.2,11.42,7.06,6.97,7.4,28052.36,15.01,39.18,-0.08311659310634721
Shree Cement,/company/SHREECEM/consolidated/,28987.4,85.51,104588.71,0.36,193.72,-72.44,4572.68,-11.95,14.76,12.53,0.08,1732.69,10.33,15.91,-0.08689090787204126
